456760,1,Prosecuting Attorney,62397,75760
441278,2,Director of Information Technology,120000,150000
382675,3,BUDGET ANALYST,80000,80000
420708,4,Investigator,56473,56473
394730,5,Lead Abatement Worker,45484,52307
228550,6,Director of Senior Practice Consultation,58675,95000
455025,7,Civil Engineer - Level 1,67757,98128
285308,8,IT Support Technician,47692,69493
301985,9,"Agency Attorney, Level III",73938,109153
426746,10,PEOPLESOFT ADMINISTRATOR,75000,125000
427536,10,Facility Operations Custodial Assistant,32260,44677
431312,1,Prosecuting Attorney,62397,75760
457073,11,Mediator and Intake Specialist,45428,52242
424227,10,Web Application Developer,100000,105000
456246,12,Powerbuilder/.Net Programmer,81951,94244
425381,1,Programs Data Manager,62862,78000
457760,5,RESIDENT BUILDING SUPERINTENDENT (HA),60171,93630
456751,1,Prosecuting Attorney,63228,96526
441015,7,Deputy General Counsel,88936,223761
440244,5,Senior Writer,79620,110000
454893,13,"PROGRAM MANAGER, STRATEGIC PROGRAMS",65000,79000
430249,14,"Program Analyst, Office of the Chief Operating Officer, Race to Justice",54100,70000
419921,15,Associate Human Rights Specialist,56746,65258
430302,16,Help Desk Level 1 Representative,32850,48940
235309,14,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",26457,32665
454893,13,"PROGRAM MANAGER, STRATEGIC PROGRAMS",65000,79000
440547,13,CONTINUITY OF OPERATIONS DIRECTOR,95000,124500
420423,17,Certified IT Administrator (LAN/WAN) Level II,82884,95317
457476,8,Payment Analyst,56013,89610
447661,18,Senior Contract Analyst,65000,75000
455550,6,Chief Operating Officer,135000,150000
389181,5,Housing Assistant,36396,58987
434223,14,"Public Health Inspection, Food Safety and Community Sanitation",45722,52580
389467,5,DEPUTY DIRECTOR -  Strategic Initiatives &Analysis,56990,156829
432978,15,Agency Attorney 2,71423,82137
237577,6,Senior Budget Analyst,63817,95022
440633,1,Assistant Commissioner for Licensing & Standards,100000,131000
395999,3,Certified IT Developer (Applications) Level 3,89509,126575
378814,17,COMPUTER SPECIALIST (SOFTWARE),89509,116126
296939,3,Service Desk Manager,57223,85259
391494,14,Criminalist III,79802,79802
389713,3,PARALEGAL AIDE - LEVEL 2,41939,58688
389713,3,PARALEGAL AIDE - LEVEL 2,41939,58688
348287,14,Forensic Pathology Technician,46056,61357
455426,19,Program Manager,60193,90704
457956,20,Contact Center Manager,80931,110000
454437,21,Executive  Front Office Executive Operations Analyst,46856,62480
455319,19,Program Manager,60193,90704
456398,21,Analyst  Program and Policy,46856,84395
443448,22,"Deputy CTO/Associate Director, Enterprise Data Solutions",130000,165000
455254,12,Release Associate,73358,84362
457587,11,Vending Operations Manager,58695,67499
434206,14,"Public Health Inspector, Food Safety and Community Sanitation",45722,52580
431234,1,Driver Services Agent,38333,63794
231945,6,Quality Improvement Specialist,48895,75900
455903,4,Director of Legislative Affairs,83158,95632
457685,5,SUPERVISOR,62475,78345
243640,6,Juvenile Justice Trainer,53051,145991
439342,17,COMPUTER SPECIALIST (SOFTWARE),98901,136951
457598,23,Cyber Command Procurement Liaison,58152,74479
440091,24,Aging Specialist (Per-Diem),29.6114,34.0531
398460,14,Contracts Officer,61938,144145
457261,5,PROCUREMENT ANALYST,41395,70212
439867,19,Program Manager,60193,80000
354733,3,Clerical Associate,33875,54879
316959,3,Office Manager (Brooklyn),33875,54879
455493,19,Deputy Director of Special Initiatives,58700,85000
434704,14,"Field Doctor, Bureau of School Health",73.37,78.59
399955,25,BOOKKEEPER,37243,49349
436896,23,Cyber Senior Audit Analyst,78795,110000
457825,5,Assistant Mechanical Engineer,57078,85646
132292,5,Maintenance Worker - Technical Services-Heating Unit,51907.68,54580.32
453042,21,Unit Head / Deputy Assistant Director  Capital Program Scope Development (CPSD),98388,192152
209609,14,"Office Clerk AOT, Bureau of Mental Health",28965,43152
427844,14,"NFP Home Nurse Visitor,  Bureau of Maternal Infant and Reproductive Health",88780,88780
458131,26,Senior Digital Forensic Analyst,84468,111003
454703,14,"Laboratory Microbiologist, Bureau of the Public Health Laboratory",52902,68040
457844,5,Assistant Electrical Engineer,57078,85646
429922,3,Paralegal Aide,43197,49677
133921,5,Temporary Painter,35,35
442016,10,DISASTER RECOVERY ANALYST,75000,100000
434933,9,IT Security Specialist,0,75000
433902,14,"HEAT Coordinator, Bureau of Health Promotion of Justice Impacted Populations",51079,72623
455999,27,JUNIOR OPERATOR,44404,65888
434176,16,College Aide L1,15.5,19.9
268880,6,Director of Child Protective Audits,60435,103044
281906,3,Clerical Supervisor (ICSU),33875,54879
219112,5,MAINTENANCE WORKER,51907.68,54580.32
376049,3,Data Analyst,58152,74479
434881,1,Operations Analyst,54100,66000
457611,11,AGENCY ATTORNEY,63228,72712
457658,3,Deputy Commissioner/General Counsel,130000,130000
434936,28,Assistant District Attorney,0,130000
427536,10,Facility Operations Custodial Assistant,32260,44677
440505,13,PLANNING PROGRAM MANAGER,65000,79500
425375,1,Programs Data Manager,54100,78000
445531,18,Public Markets Middle Office Analyst (2 positions),70000,80000
455407,17,ADMINISTRATIVE STAFF ANALYST (NON-MANAGERIAL),62862,97873
456837,1,Operations Analyst,58152,74479
384600,15,SUPERVISING ATTORNEY,56990,95000
398096,5,MAINTENANCE WORKER,27.58,29
457922,12,Digital Communications Director,40000,200000
442360,7,Diversity Specialist,54100,83981
455951,27,STAFF NURSE,82071,82071
445329,23,Cyber Strategic Intelligence Anaylst,78795,113300
457087,11,Deputy Director of Consumer Services,58700,80000
348287,14,Forensic Pathology Technician,46056,61357
380943,5,CARETAKER J,29636,43079
209609,14,"Office Clerk AOT, Bureau of Mental Health",28965,43152
430249,14,"Program Analyst, Office of the Chief Operating Officer, Race to Justice",54100,70000
427472,29,Investigator,50000,55055
443881,17,CERTIFIED IT DEVELOPER (APPLICATIONS),81951,111330
133921,5,Temporary Painter,35,35
451777,18,Director - Diversity & Inclusion and Emerging Manager Strategy,120000,140000
424469,4,Voice Communication Specialist,81951,94244
235309,14,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",26457,32665
379094,17,CERTIFIED IT DEVELOPER (APPLICATIONS),82884,116391
458099,17,AGENCY ATTORNEY,71423,107032
230974,6,Best Practices Coach,66000,89008
441327,10,Mainframe System Programmer,110000,130000
445957,14,Chief of Health and Safety,84468,104909.04
171040,14,"Clerical Associate, Bureau of Communicable Diseases",32086,51981
428507,14,"Triage Supervisor, Bureau of Health Promotion of Justice Impacted Populations",73027,90000
441583,7,City Laborer,290,290
235793,3,Law Student,35213,40495
357984,30,Computer Systems Manager,80000,85000
456045,19,Budget Analyst,54100,83981
457622,23,Deputy CISO - Urban Technology,88936,220000
357984,30,Computer Systems Manager,80000,85000
234921,17,CERTIFIED IT ADMINISTRATOR (LAN/WAN),72260,98163
367690,14,Software Developer,69618,80061
448516,18,SIO- Public Equity,160000,175000
267594,3,F/T Computer Aide,38157,49394
